,时间,最终排名,实时预测排名,平均绝对误差,均方误差
0,1592294397.87,1,[0.75638957],0.24361043014227213,0.059346041674102845
1,1592294407.87,1,[0.75812162],0.24187837793281253,0.05850514971140849
2,1592294417.87,1,[0.69225785],0.3077421457389864,0.09470522826403555
3,1592294427.87,1,[0.68760375],0.3123962473650701,0.09759141536777807
4,1592294437.87,1,[0.70449584],0.2955041636288678,0.08732271072199667
5,1592294447.87,1,[0.73376605],0.2662339516517387,0.07088051701210034
6,1592294457.87,1,[0.67250578],0.32749421946445445,0.10725246378263226
7,1592294467.87,1,[0.66848508],0.3315149183273852,0.10990214107361289
8,1592294477.87,1,[0.679502],0.32049800178291854,0.10271896914684366
9,1592294487.87,1,[0.73493199],0.26506800590379764,0.0702610477538157
10,1592294497.87,1,[0.71809669],0.28190330594142665,0.07946947390070559
11,1592294507.87,1,[0.70378664],0.29621335984354313,0.08774235454980037
12,1592294517.87,1,[0.71149513],0.28850487313843787,0.08323506182462613
13,1592294527.87,1,[0.68700713],0.31299287451206426,0.0979645394953248
14,1592294537.87,1,[0.69917856],0.30082144263375743,0.090493540348255
15,1592294547.87,1,[0.71724013],0.28275987049322004,0.07995314436134257
16,1592294557.87,1,[0.7065543],0.29344570382655344,0.08611038109426132
17,1592294567.87,1,[0.70194589],0.298054109132493,0.08883625197076403
18,1592294577.87,1,[0.72919355],0.27080645058243547,0.07333613367705706
19,1592294587.87,1,[0.70956935],0.2904306540468867,0.0843499648101024
20,1592294597.87,1,[0.71924186],0.28075814051874837,0.07882513346754526
21,1592294607.87,1,[0.71823074],0.28176925956636734,0.0793939156365789
22,1592294617.87,1,[0.70606951],0.2939304877409705,0.08639513162364483
23,1592294627.87,1,[0.75341311],0.24658688923259464,0.0608050939414079
24,1592294637.87,1,[0.7488386],0.2511613955808081,0.06308204663009916
25,1592294647.87,1,[0.73029946],0.26970054419191924,0.07273838353741739
26,1592294657.87,1,[0.72621099],0.27378900847763354,0.07496042116316569
27,1592294667.87,1,[0.72694518],0.2730548152958152,0.07455893215623176
28,1592294677.87,1,[0.72093977],0.279060225559163,0.07787460948913093
29,1592294687.87,1,[0.71566246],0.2843375440115441,0.08084783893451677
30,1592294697.87,1,[0.69736175],0.3026382463924965,0.0915899081795254
31,1592294707.87,1,[0.69359375],0.30640624639249636,0.09388478782833919
32,1592294717.87,1,[0.71751444],0.2824855588924965,0.0797980909828061
33,1592294727.87,1,[0.73504918],0.2649508178210679,0.07019893586405271
34,1592294737.87,1,[0.7366929],0.26330709862382606,0.06933062818569727
35,1592294747.87,1,[0.75695049],0.24304951454142254,0.05907306651882117
36,1592294757.87,1,[0.75144185],0.24855815374596824,0.06178115579360438
37,1592294767.87,1,[0.73398458],0.2660154244519777,0.07076420604636584
38,1592294777.87,1,[0.70326858],0.2967314155234063,0.08804953295852441
39,1592294787.87,1,[0.73803221],0.2619677919629614,0.06862712402594942
40,1592294797.87,1,[0.74297923],0.25702077273745494,0.06605967761855847
41,1592294807.87,1,[0.74461239],0.25538760607078825,0.06522282933456812
42,1592294817.87,1,[0.73188892],0.26811108424707575,0.07188355349614255
43,1592294827.87,1,[0.7701104],0.22988960204706654,0.05284922912935862
44,1592294837.87,1,[0.76340126],0.23659873746373294,0.055978962569432425
45,1592294847.87,1,[0.77123999],0.2287600117692884,0.05233114298468496
46,1592294857.87,1,[0.768254],0.231746002840717,0.053706209832649614
47,1592294867.87,1,[0.75818329],0.24181671018198703,0.058475321323239106
48,1592294877.87,1,[0.75843225],0.24156775184865364,0.05835497873321271
49,1592294887.87,1,[0.75140874],0.24859126176928847,0.061797615428046904
50,1592294897.87,1,[0.75515317],0.24484683319785994,0.05994997172702065
51,1592294907.87,1,[0.75808763],0.24191236891214585,0.05852159423268615
52,1592294917.87,1,[0.75914364],0.24085635700738384,0.05801178471086834
53,1592294927.87,1,[0.75817056],0.24182944331690748,0.05848147965496537
54,1592294937.87,1,[0.75491784],0.2450821592259984,0.06006526477087764
55,1592294947.87,1,[0.75751801],0.24248199156726824,0.05879751623442875
56,1592294957.87,1,[0.7418923],0.2581076967427097,0.0666195831178266
57,1592294967.87,1,[0.73146323],0.26853677114747154,0.0721119974583095
58,1592294977.87,1,[0.72396093],0.276039067684268,0.07619756688799989
59,1592294987.87,1,[0.74783377],0.2521662321683952,0.06358780864600498
60,1592294997.87,1,[0.75106593],0.24893406545796104,0.061968168945428434
61,1592295007.87,1,[0.75467708],0.24532292097744146,0.060183335556903986
62,1592295017.87,1,[0.75545924],0.24454075557340116,0.05980018113640993
63,1592295027.87,1,[0.75416454],0.24583546364793518,0.06043507518699526
64,1592295037.87,1,[0.78312407],0.21687593469771893,0.047035171051009246
65,1592295047.87,1,[0.74878392],0.251216084652817,0.0631095211882913
66,1592295057.87,1,[0.75235704],0.24764295585317442,0.061327033583697295
67,1592295067.87,1,[0.63187798],0.36812201902958175,0.13551382089441574
68,1592295077.87,1,[0.6546328],0.3453671994047619,0.11927850242468857
69,1592295087.87,1,[0.65757065],0.3424293499278501,0.11725785969201002
70,1592295097.87,1,[0.68117178],0.3188282172619048,0.10165143212240436
71,1592295107.87,1,[0.65424924],0.34575075568181834,0.11954358505454844
72,1592295117.87,1,[0.69551532],0.3044846825396824,0.09271092190129118
73,1592295127.87,1,[0.65586289],0.3441371068722945,0.11843034832643304
74,1592295137.87,1,[0.69701639],0.30298360615079367,0.09179906559613926
75,1592295147.87,1,[0.66990615],0.3300938529040405,0.10896195172503431
76,1592295157.87,1,[0.70815156],0.2918484434523809,0.08517551394557758
77,1592295167.87,1,[0.71109913],0.2889008667929296,0.08346371083370605
78,1592295177.87,1,[0.74903757],0.25096243353174597,0.06298214304417601
79,1592295187.87,1,[0.70714788],0.2928521237373739,0.08576236637749016
80,1592295197.87,1,[0.75649602],0.24350398054029287,0.059294188538967334
81,1592295207.87,1,[0.74655744],0.25344256421356426,0.06423313335514665
82,1592295217.87,1,[0.76897423],0.23102577353896103,0.05337290803927531
83,1592295227.87,1,[0.77241811],0.2275818913239538,0.05179351725858791
84,1592295237.87,1,[0.78656124],0.21343875568181825,0.0455561024270029
85,1592295247.87,1,[0.80193184],0.198068160443723,0.039230996181560396
86,1592295257.87,1,[0.83438233],0.16561767063492072,0.027429212826537083
87,1592295267.87,1,[0.80421943],0.19578057115800862,0.038330032042956076
88,1592295277.87,1,[0.84029445],0.15970554933261183,0.02550586248763131
89,1592295287.87,1,[0.82602914],0.1739708568722943,0.03026585904088031
90,1592295297.87,1,[0.85361858],0.14638142270923515,0.021427520914379786
91,1592295307.87,1,[0.84226804],0.1577319569388942,0.02487937023977317
92,1592295317.87,1,[0.8366928],0.16330720247113995,0.026669242378949895
93,1592295327.87,1,[0.77660932],0.2233906763167387,0.04990339426524992
94,1592295337.87,1,[0.80117311],0.19882688789682557,0.03953213135073684
95,1592295347.87,1,[0.76911801],0.230881991792929,0.05330649413427014
96,1592295357.87,1,[0.80476047],0.19523953075396838,0.038118474369029764
97,1592295367.87,1,[0.7734783],0.22652170012626238,0.05131208062809234
98,1592295377.87,1,[0.80870945],0.1912905545634921,0.03659207626520834
99,1592295387.87,1,[0.80764999],0.1923500126262624,0.0369985273573233
100,1592295397.87,1,[0.83333881],0.16666118849206357,0.027775951749587142
101,1592295407.87,1,[0.82587736],0.17412264060245308,0.03031869397037104
102,1592295417.87,1,[0.8376227],0.16237729960317482,0.026366387426419197
103,1592295427.87,1,[0.82042069],0.1795793142135642,0.03224873009341402
104,1592295437.87,1,[0.86485495],0.1351450456349209,0.018264183359664857
105,1592295447.87,1,[0.84271602],0.15728398187229442,0.02473825095360424
106,1592295457.87,1,[0.88073995],0.11926004861111128,0.014222959194724626
107,1592295467.87,1,[0.83678878],0.16321121897546897,0.026637901999458483
108,1592295477.87,1,[0.89759067],0.10240932539682546,0.01048766992823288
109,1592295487.87,1,[0.8208913],0.17910869940476215,0.03207992620246545
110,1592295497.87,1,[0.90339999],0.09660001488095227,0.009331562875000199
111,1592295507.87,1,[0.82370086],0.1762991387987014,0.031081386341163784
112,1592295517.87,1,[0.88654115],0.1134588472222221,0.012872910012995536
113,1592295527.87,1,[0.83495593],0.16504407043650793,0.02723954518625099
114,1592295537.87,1,[0.90081472],0.09918528075396826,0.009837719918243507
115,1592295547.87,1,[0.83758712],0.1624128799603175,0.026377943577004504
116,1592295557.87,1,[0.90681705],0.0931829494047619,0.008683062059770418
117,1592295567.87,1,[0.83990618],0.1600938174603176,0.02563003038901749
118,1592295577.87,1,[0.90410134],0.09589865972222211,0.009196552936518545
119,1592295587.87,1,[0.83924571],0.16075429365079363,0.02584194292716559
120,1592295597.87,1,[0.90938563],0.09061436904761899,0.008210963877898091
121,1592295607.87,1,[0.87146491],0.12853508531746038,0.01652126815756682
122,1592295617.87,1,[0.91414904],0.0858509632936506,0.007370387898447744
123,1592295627.87,1,[0.86713403],0.13286597023809532,0.01765336604731043
124,1592295637.87,1,[0.91304722],0.08695278174603183,0.0075607862533730455
125,1592295647.87,1,[0.86537007],0.13462992857142875,0.018125217667148006
126,1592295657.87,1,[0.90944127],0.09055872519841268,0.008200882709561624
127,1592295667.87,1,[0.89550949],0.10449050595238096,0.010918265834184562
128,1592295677.87,1,[0.92930836],0.07069163888888907,0.004997307808797094
129,1592295687.87,1,[0.90204527],0.09795472817460327,0.009595128771760416
130,1592295697.87,1,[0.92791742],0.07208257936507978,0.005195898247923025
131,1592295707.87,1,[0.91174021],0.0882597876984128,0.007789790124568901
132,1592295717.87,1,[0.92968798],0.07031202380952395,0.004943780692191062
133,1592295727.87,1,[0.9265253],0.0734746984126986,0.005398531306837015
134,1592295737.87,1,[0.927973],0.07202700000000006,0.005187888729000009
135,1592295747.87,1,[0.92352391],0.07647609126984134,0.005848592535913103
136,1592295757.87,1,[0.93204617],0.0679538313492063,0.004617723195036372
137,1592295767.87,1,[0.9303726],0.06962739583333344,0.004847974250531698
